18_U100-003 001,98.19,0.55,0.57
18_U100-003 002,97.74,0.53,0.57
18_000 005,97.29,0.54,0.6
18_000 004,97.29,0.52,0.59
18_000 001,97.29,0.56,0.6
18_U100-006 001,97.29,0.54,0.56
18_U100-003 003,97.29,0.55,0.59
18_U100-003 004,97.29,0.53,0.58
18_U100-003 005,97.29,0.54,0.58
18_U100-000 002,97.29,0.56,0.59
18_U100-000 001,97.29,0.57,0.58
18_U100-000 003,97.29,0.55,0.6
18_U10-005 001,97.29,0.52,0.57
18_U100-004 001,97.29,0.56,0.57
18_U100-009 004,97.29,0.52,0.59
18_U100-009 001,97.29,0.55,0.58
18_U10-001 003,97.29,0.54,0.56
18_U10-001 002,97.29,0.57,0.56
18_U10-001 001,97.29,0.58,0.58
18_U100-007 005,97.29,0.52,0.58
18_U100-007 001,97.29,0.54,0.58
18_U100-008 001,97.29,0.54,0.58
18_U100-008 003,97.29,0.5,0.59
18_U100-008 002,97.29,0.54,0.6
18_U100-008 005,97.29,0.51,0.56
18_U100-008 004,97.29,0.51,0.59
18_U100-001 001,97.29,0.54,0.58
18_U100-001 003,97.29,0.53,0.6
18_U100-001 005,97.29,0.51,0.6
18_U100-001 002,97.29,0.53,0.6
18_U100-001 004,97.29,0.52,0.57
18_U100-005 001,97.29,0.54,0.57
18_U100-005 002,97.29,0.52,0.58
18_U100-002 003,97.29,0.53,0.57
18_U100-002 001,97.29,0.55,0.56
18_U100-002 002,97.29,0.52,0.58
18_U100-002 005,97.29,0.51,0.56
18_000 003,96.83,0.54,0.59
18_000 002,96.83,0.53,0.6
18_017 002,96.83,0.56,0.55
18_017 004,96.83,0.51,0.58
18_017 001,96.83,0.57,0.57
18_U100-000 005,96.83,0.53,0.57
18_U100-000 004,96.83,0.54,0.61
18_U100-004 005,96.83,0.54,0.56
18_U100-004 004,96.83,0.52,0.56
18_U100-004 002,96.83,0.55,0.58
18_U100-004 003,96.83,0.53,0.58
18_U100-009 003,96.83,0.52,0.6
18_U100-009 002,96.83,0.52,0.6
18_U100-007 002,96.83,0.54,0.61
18_U100-007 004,96.83,0.53,0.62
18_U100-007 003,96.83,0.55,0.6
18_U100-005 005,96.83,0.5,0.55
18_U100-005 004,96.83,0.5,0.59
18_U100-005 003,96.83,0.51,0.59
18_U100-002 004,96.83,0.5,0.58
18_U10-008 001,96.38,0.53,0.6
18_U100-006 002,96.38,0.5,0.59
18_017 005,96.38,0.5,0.55
18_U100-009 005,96.38,0.51,0.56
18_U10-001 004,96.38,0.53,0.53
18_005 001,96.38,0.57,0.56
18_008 001,95.93,0.57,0.54
18_017 003,95.93,0.51,0.56
18_U10-003 001,95.93,0.63,0.55
18_026 001,95.93,0.5,0.56
18_008 004,95.48,0.56,0.55
18_U100-006 003,95.48,0.51,0.56
18_U10-006 001,95.48,0.54,0.52
18_U10-005 002,95.48,0.48,0.55
18_004 005,95.48,0.52,0.53
18_004 002,95.48,0.52,0.54
18_U10-008 002,95.02,0.52,0.56
18_U100-006 004,95.02,0.49,0.58
18_U10-006 002,95.02,0.51,0.49
18_026 002,95.02,0.49,0.56
18_004 001,95.02,0.56,0.57
18_U10-007 001,94.57,0.51,0.57
18_019 002,94.57,0.65,0.55
18_026 003,94.57,0.47,0.52
18_U10-009 001,94.57,0.58,0.57
18_028 001,94.57,0.5,0.52
18_U10-001 005,94.57,0.52,0.51
18_U10-000 001,94.57,0.51,0.56
18_008 002,94.12,0.53,0.55
18_U10-007 003,94.12,0.51,0.57
18_019 003,94.12,0.58,0.6
18_019 004,94.12,0.61,0.6
18_019 001,94.12,0.62,0.55
18_005 004,94.12,0.51,0.54
18_U10-007 002,93.67,0.51,0.56
18_U10-003 002,93.67,0.59,0.56
18_019 005,93.67,0.6,0.56
18_026 004,93.67,0.43,0.5
18_005 002,93.67,0.56,0.55
18_005 003,93.67,0.48,0.5
18_012 001,93.67,0.49,0.47
18_U100-006 005,93.21,0.51,0.53
18_016 001,93.21,0.55,0.55
18_041 003,93.21,0.49,0.5
18_004 003,93.21,0.56,0.58
18_U10-007 005,92.76,0.51,0.53
18_026 005,92.76,0.47,0.51
18_041 005,92.76,0.54,0.55
18_041 001,92.76,0.48,0.49
18_028 004,92.76,0.5,0.53
18_028 002,92.76,0.53,0.52
18_028 003,92.76,0.57,0.54
18_004 004,92.76,0.58,0.59
18_089 001,92.76,0.56,0.55
18_U10-007 004,92.31,0.51,0.51
