14_U100-003 001,89.94,0.82,0.77
14_U100-001 002,89.94,0.79,0.74
14_U100-001 001,89.63,0.78,0.73
14_U100-003 002,89.02,0.83,0.77
14_U100-000 001,89.02,0.69,0.65
14_U100-000 002,88.72,0.7,0.65
14_U100-004 001,88.11,0.69,0.65
14_U100-007 002,88.11,0.69,0.64
14_U100-007 001,87.8,0.69,0.64
14_U100-009 001,87.8,0.8,0.75
14_U100-005 001,87.5,0.79,0.74
14_U100-002 001,87.2,0.82,0.76
14_U100-003 003,87.2,0.8,0.74
14_U100-004 002,87.2,0.85,0.79
14_U100-005 002,86.59,0.78,0.73
14_U100-000 003,86.28,0.7,0.65
14_U100-000 004,86.28,0.69,0.64
14_U100-001 003,86.28,0.78,0.72
14_U100-005 003,85.67,0.69,0.64
14_U100-008 001,85.67,0.78,0.72
14_U100-001 004,85.06,0.78,0.73
14_U100-009 003,84.76,0.7,0.65
14_U100-006 001,84.76,0.68,0.64
14_U100-008 002,84.15,0.79,0.74
14_U100-009 002,83.84,0.76,0.71
14_U100-001 005,83.84,0.78,0.73
14_U100-005 004,83.23,0.76,0.71
14_U100-003 004,82.62,0.8,0.74
14_U100-007 003,82.32,0.68,0.64
14_U100-006 003,82.01,0.69,0.64
14_U100-008 004,82.01,0.69,0.64
14_U100-008 003,81.71,0.78,0.73
14_U100-002 002,81.1,0.66,0.61
14_U100-007 005,81.1,0.67,0.62
14_U100-007 004,80.79,0.67,0.62
14_U100-006 002,79.27,0.77,0.72
14_U100-004 003,78.66,0.67,0.63
14_U100-002 003,76.83,0.67,0.64
14_U100-002 005,76.83,0.64,0.6
14_U100-002 004,76.52,0.69,0.65
14_U100-005 005,76.52,0.66,0.62
14_U100-000 005,75.61,0.67,0.63
14_U100-003 005,74.7,0.65,0.61
14_U100-009 004,74.7,0.67,0.62
14_U100-004 004,74.39,0.6,0.56
14_U100-006 004,74.39,0.68,0.63
14_U100-009 005,73.48,0.65,0.61
14_U100-008 005,73.48,0.66,0.62
14_U100-004 005,73.17,0.66,0.61
14_U100-006 005,71.34,0.64,0.6
14_U10-008 001,60.67,0.52,0.48
14_U10-004 001,53.05,0.53,0.49
14_U10-008 002,49.09,0.46,0.43
14_U10-009 001,48.78,0.34,0.34
14_U10-008 003,47.56,0.41,0.38
14_U10-008 004,43.29,0.44,0.4
14_U10-008 005,42.38,0.38,0.35
14_U10-009 002,42.07,0.36,0.34
14_U10-000 001,42.07,0.49,0.46
14_U10-002 001,41.77,0.35,0.33
14_U10-009 003,40.85,0.36,0.33
14_U10-007 002,40.85,0.34,0.32
14_000 001,40.55,0.49,0.46
14_U10-007 001,40.55,0.34,0.31
14_U10-005 001,39.33,0.25,0.23
14_U10-003 001,39.33,0.37,0.34
14_000 002,36.59,0.43,0.4
14_U10-004 002,36.59,0.39,0.37
14_U10-009 004,35.98,0.39,0.36
14_U10-007 003,33.84,0.34,0.32
14_004 002,33.54,0.23,0.19
14_U10-004 003,33.54,0.25,0.23
14_U10-003 002,32.32,0.21,0.21
14_004 001,30.79,0.21,0.2
14_U10-000 002,29.88,0.41,0.38
14_U10-009 005,28.96,0.37,0.34
14_U10-007 004,28.96,0.34,0.31
14_004 003,28.05,0.2,0.2
14_U10-002 002,27.74,0.38,0.35
14_U10-007 005,26.52,0.36,0.33
14_U10-000 004,25.3,0.4,0.37
14_U10-004 004,25.0,0.2,0.19
14_000 003,23.48,0.27,0.25
14_U10-000 003,22.26,0.46,0.43
14_U10-005 002,21.34,0.19,0.2
14_U10-006 001,21.04,0.28,0.27
14_U10-001 001,20.73,0.26,0.24
14_U10-003 003,20.43,0.35,0.32
14_U10-004 005,19.82,0.38,0.35
14_002 002,19.21,0.2,0.2
14_009 001,17.68,0.24,0.23
14_U10-005 003,17.38,0.24,0.23
14_U10-005 004,16.77,0.17,0.18
14_U10-003 004,16.16,0.2,0.2
14_028 002,15.85,0.23,0.19
14_U10-006 002,15.85,0.21,0.2
14_009 002,15.55,0.3,0.28
14_U10-001 002,14.94,0.26,0.23
14_002 001,14.02,0.23,0.21
14_004 004,13.41,0.2,0.19
14_028 001,13.11,0.23,0.22
14_U10-001 003,12.5,0.15,0.2
14_001 001,11.89,0.34,0.32
14_U10-001 004,11.59,0.23,0.14
14_028 003,11.59,0.22,0.21
14_015 001,10.98,0.2,0.22
14_004 005,10.98,0.18,0.15
14_001 002,10.67,0.24,0.22
14_U10-006 005,10.37,0.23,0.23
14_U10-002 003,10.06,0.26,0.24
14_U10-005 005,9.76,0.21,0.21
14_001 003,8.54,0.24,0.22
14_U10-006 003,7.01,0.29,0.27
14_U10-002 004,6.71,0.29,0.27
14_U10-003 005,6.4,0.2,0.17
14_015 002,5.79,0.18,0.17
14_009 003,5.79,0.28,0.26
14_003 001,5.79,0.22,0.21
14_010 002,5.49,0.23,0.21
14_002 003,5.49,0.18,0.17
14_021 002,5.49,0.23,0.19
14_U10-001 005,5.18,0.25,0.23
14_U10-002 005,5.18,0.27,0.25
14_U10-000 005,5.18,0.29,0.27
14_019 001,4.88,0.18,0.18
14_003 002,4.57,0.18,0.17
14_021 001,4.57,0.26,0.24
14_001 005,4.27,0.32,0.3
14_019 002,3.35,0.22,0.22
14_028 005,2.74,0.21,0.17
14_U10-006 004,2.74,0.21,0.2
14_022 001,2.13,0.19,0.16
14_019 003,1.83,0.21,0.19
14_000 004,1.83,0.22,0.21
14_010 001,1.22,0.21,0.19
14_006 001,0.91,0.23,0.22
14_028 004,0.91,0.19,0.18
14_001 004,0.91,0.24,0.22
14_011 001,0.3,0.19,0.19
14_010 004,0.0,0.25,0.21
14_010 005,0.0,0.19,0.18
14_010 003,0.0,0.2,0.19
14_006 003,0.0,0.2,0.19
14_006 005,0.0,0.2,0.19
14_006 002,0.0,0.26,0.25
14_006 004,0.0,0.22,0.22
14_029 001,0.0,0.26,0.25
14_029 004,0.0,0.27,0.25
14_029 003,0.0,0.27,0.25
14_029 005,0.0,0.28,0.26
14_029 002,0.0,0.27,0.25
14_019 005,0.0,0.21,0.19
14_019 004,0.0,0.18,0.17
14_015 005,0.0,0.24,0.23
14_015 003,0.0,0.26,0.24
14_015 004,0.0,0.21,0.2
14_009 004,0.0,0.2,0.19
14_009 005,0.0,0.21,0.2
14_005 001,0.0,0.28,0.27
14_005 004,0.0,0.19,0.18
14_005 005,0.0,0.26,0.24
14_005 003,0.0,0.28,0.25
14_005 002,0.0,0.2,0.18
14_018 001,0.0,0.22,0.2
14_018 004,0.0,0.18,0.17
14_018 005,0.0,0.18,0.18
14_018 002,0.0,0.23,0.21
14_018 003,0.0,0.18,0.16
14_014 004,0.0,0.15,0.16
14_014 005,0.0,0.23,0.22
14_014 001,0.0,0.2,0.21
14_014 002,0.0,0.16,0.17
14_014 003,0.0,0.2,0.19
14_008 002,0.0,0.21,0.17
14_008 003,0.0,0.19,0.18
14_008 001,0.0,0.17,0.17
14_008 005,0.0,0.19,0.21
14_008 004,0.0,0.21,0.2
14_027 005,0.0,0.2,0.19
14_027 004,0.0,0.18,0.2
14_027 002,0.0,0.23,0.19
14_027 001,0.0,0.2,0.19
14_027 003,0.0,0.22,0.21
14_000 005,0.0,0.35,0.33
14_023 001,0.0,0.27,0.22
14_023 002,0.0,0.25,0.23
14_023 005,0.0,0.25,0.23
14_023 003,0.0,0.26,0.24
14_023 004,0.0,0.25,0.24
14_017 003,0.0,0.23,0.19
14_017 004,0.0,0.2,0.23
14_017 002,0.0,0.21,0.18
14_017 001,0.0,0.17,0.17
14_017 005,0.0,0.21,0.21
14_013 001,0.0,0.28,0.26
14_013 002,0.0,0.25,0.23
14_013 003,0.0,0.28,0.26
14_013 005,0.0,0.23,0.25
14_013 004,0.0,0.25,0.23
14_007 002,0.0,0.26,0.24
14_007 001,0.0,0.27,0.25
14_007 003,0.0,0.26,0.24
14_007 004,0.0,0.23,0.22
14_007 005,0.0,0.27,0.25
14_003 004,0.0,0.18,0.18
14_003 003,0.0,0.14,0.17
14_003 005,0.0,0.17,0.16
14_026 001,0.0,0.2,0.2
14_026 004,0.0,0.19,0.18
14_026 003,0.0,0.19,0.22
14_026 002,0.0,0.21,0.18
14_026 005,0.0,0.23,0.21
14_022 005,0.0,0.2,0.22
14_022 003,0.0,0.19,0.19
14_022 004,0.0,0.17,0.18
14_022 002,0.0,0.21,0.21
14_016 002,0.0,0.22,0.16
14_016 001,0.0,0.27,0.27
14_016 004,0.0,0.24,0.23
14_016 005,0.0,0.24,0.22
14_016 003,0.0,0.2,0.17
14_012 001,0.0,0.21,0.2
14_012 004,0.0,0.23,0.22
14_012 003,0.0,0.22,0.21
14_012 005,0.0,0.24,0.23
14_012 002,0.0,0.23,0.22
14_002 005,0.0,0.21,0.17
14_002 004,0.0,0.2,0.2
14_025 002,0.0,0.23,0.22
14_025 005,0.0,0.26,0.25
14_025 004,0.0,0.23,0.19
14_025 001,0.0,0.27,0.27
14_025 003,0.0,0.22,0.21
14_021 004,0.0,0.16,0.15
14_021 003,0.0,0.24,0.23
14_021 005,0.0,0.23,0.22
14_011 004,0.0,0.2,0.2
14_011 002,0.0,0.23,0.23
14_011 003,0.0,0.21,0.19
14_011 005,0.0,0.2,0.24
14_024 001,0.0,0.21,0.21
14_024 004,0.0,0.19,0.15
14_024 003,0.0,0.19,0.21
14_024 005,0.0,0.2,0.22
14_024 002,0.0,0.22,0.2
14_020 003,0.0,0.2,0.19
14_020 002,0.0,0.2,0.17
14_020 001,0.0,0.23,0.21
14_020 004,0.0,0.2,0.2
14_020 005,0.0,0.24,0.23
