12_U100-006 001,95.9,0.71,0.35
12_U100-006 002,95.13,0.73,0.36
12_U100-001 001,94.62,0.74,0.33
12_U100-000 001,94.62,0.74,0.34
12_U100-004 003,94.62,0.74,0.33
12_U100-004 002,94.62,0.73,0.36
12_U100-003 002,94.62,0.74,0.36
12_U100-006 005,94.36,0.71,0.35
12_U100-004 004,94.36,0.74,0.36
12_U100-004 001,94.36,0.74,0.36
12_U100-003 004,94.36,0.73,0.33
12_U100-006 004,94.1,0.74,0.36
12_U100-001 004,94.1,0.72,0.36
12_U100-004 005,94.1,0.75,0.36
12_U100-003 001,94.1,0.74,0.36
12_U100-003 003,94.1,0.74,0.36
12_U100-002 001,93.85,0.73,0.36
12_U100-006 003,93.85,0.73,0.36
12_U100-001 003,93.85,0.74,0.36
12_U100-007 001,93.85,0.74,0.36
12_U100-000 002,93.85,0.75,0.36
12_U100-009 003,93.85,0.73,0.36
12_U100-003 005,93.85,0.74,0.36
12_U100-008 001,93.59,0.73,0.33
12_U100-001 005,93.59,0.73,0.36
12_U100-001 002,93.59,0.74,0.36
12_U100-000 003,93.59,0.74,0.34
12_U100-002 003,93.33,0.73,0.36
12_U100-005 002,93.33,0.73,0.35
12_U100-007 002,93.33,0.74,0.36
12_U100-000 004,93.33,0.72,0.36
12_U100-009 004,93.33,0.74,0.36
12_U100-007 003,93.08,0.74,0.36
12_U100-000 005,93.08,0.74,0.36
12_U100-009 001,93.08,0.74,0.36
12_U100-009 002,92.82,0.74,0.36
12_U100-002 005,92.56,0.74,0.36
12_U100-005 004,92.56,0.72,0.35
12_U100-007 005,92.56,0.73,0.36
12_U100-005 005,92.31,0.73,0.35
12_U10-002 005,92.31,0.68,0.35
12_U100-002 002,92.05,0.73,0.36
12_U100-008 002,92.05,0.73,0.34
12_U100-008 003,92.05,0.74,0.35
12_U100-005 001,92.05,0.74,0.34
12_U100-007 004,91.79,0.74,0.36
12_U10-002 001,91.79,0.68,0.35
12_U100-002 004,91.54,0.74,0.36
12_U100-008 004,91.54,0.72,0.36
12_U10-002 002,91.54,0.72,0.36
12_U100-009 005,91.54,0.72,0.35
12_U100-005 003,91.28,0.74,0.34
12_U10-002 003,91.03,0.68,0.35
12_U10-005 001,91.03,0.69,0.35
12_U10-000 001,91.03,0.75,0.36
12_U10-000 002,90.0,0.75,0.36
12_U10-002 004,89.74,0.67,0.35
12_U10-006 002,89.74,0.73,0.36
12_U100-008 005,89.49,0.71,0.36
12_U10-005 002,89.49,0.71,0.35
12_U10-008 003,88.97,0.7,0.35
12_U10-008 001,88.97,0.73,0.36
12_U10-008 002,88.97,0.71,0.35
12_031 002,88.97,0.64,0.36
12_U10-005 003,88.72,0.71,0.35
12_031 001,88.72,0.64,0.33
12_U10-007 002,88.72,0.73,0.33
12_U10-006 001,88.72,0.7,0.36
12_000 001,88.72,0.7,0.36
12_U10-004 001,88.21,0.73,0.36
12_135 001,88.21,0.65,0.33
12_017 001,88.21,0.72,0.34
12_014 001,88.21,0.7,0.33
12_088 001,87.95,0.68,0.33
12_U10-001 001,87.95,0.68,0.35
12_U10-001 002,87.95,0.73,0.36
12_U10-008 004,87.95,0.69,0.32
12_052 001,87.95,0.64,0.33
12_U10-009 001,87.69,0.7,0.35
12_028 001,87.69,0.71,0.34
12_004 001,87.44,0.74,0.33
12_U10-001 003,87.44,0.69,0.35
12_U10-000 003,87.44,0.75,0.34
12_135 002,87.44,0.65,0.33
12_U10-007 001,87.44,0.69,0.35
12_U10-007 003,87.44,0.74,0.34
12_U10-006 003,87.44,0.73,0.36
12_216 001,87.18,0.7,0.34
12_112 001,87.18,0.71,0.36
12_135 003,87.18,0.65,0.33
12_135 004,87.18,0.65,0.33
12_U10-004 003,86.92,0.73,0.36
12_161 001,86.92,0.65,0.33
12_065 001,86.92,0.65,0.34
12_U10-000 005,86.92,0.75,0.35
12_152 001,86.92,0.73,0.34
12_028 002,86.92,0.7,0.33
12_004 002,86.67,0.72,0.36
12_U10-000 004,86.67,0.74,0.33
12_U10-007 004,86.67,0.69,0.35
12_U10-006 004,86.67,0.69,0.35
12_U10-004 002,86.41,0.72,0.35
12_U10-004 005,86.41,0.72,0.36
12_U10-005 004,86.41,0.71,0.35
12_109 001,86.41,0.7,0.34
12_U10-007 005,86.41,0.72,0.35
12_088 002,86.15,0.68,0.33
12_001 001,86.15,0.65,0.33
12_125 001,86.15,0.64,0.34
12_112 002,86.15,0.72,0.36
12_045 001,86.15,0.68,0.34
12_U10-009 004,85.9,0.71,0.35
12_U10-009 003,85.9,0.69,0.35
12_U10-001 004,85.9,0.69,0.35
12_U10-008 005,85.9,0.68,0.35
12_050 001,85.9,0.71,0.33
12_112 003,85.9,0.68,0.36
12_067 001,85.9,0.71,0.35
12_U10-006 005,85.9,0.73,0.36
12_U10-009 002,85.64,0.7,0.35
12_U10-004 004,85.64,0.73,0.34
12_U10-005 005,85.64,0.69,0.34
12_065 002,85.64,0.7,0.33
12_152 002,85.64,0.74,0.34
12_109 002,85.64,0.71,0.36
12_028 004,85.64,0.7,0.36
12_046 001,85.38,0.65,0.35
12_050 003,85.38,0.7,0.36
12_U10-003 003,85.38,0.75,0.35
12_U10-003 001,85.38,0.73,0.34
12_017 002,85.38,0.72,0.34
12_031 003,85.38,0.71,0.34
12_000 004,85.38,0.72,0.36
12_112 005,85.13,0.68,0.35
12_041 001,85.13,0.65,0.33
12_028 003,85.13,0.72,0.35
12_000 002,85.13,0.72,0.36
12_108 002,84.87,0.71,0.36
12_108 001,84.87,0.71,0.35
12_088 003,84.87,0.67,0.36
12_050 002,84.87,0.73,0.36
12_161 002,84.87,0.64,0.33
12_109 003,84.87,0.68,0.36
12_U10-001 005,84.62,0.68,0.35
12_113 001,84.62,0.71,0.33
12_040 001,84.62,0.66,0.34
12_162 001,84.62,0.65,0.34
12_182 001,84.62,0.67,0.36
12_073 001,84.62,0.64,0.34
12_039 003,84.36,0.65,0.34
12_112 004,84.36,0.69,0.35
12_037 001,84.36,0.63,0.31
12_052 002,84.36,0.62,0.32
12_017 003,84.36,0.7,0.34
12_067 002,84.36,0.72,0.36
12_046 002,84.1,0.64,0.36
12_U10-009 005,84.1,0.69,0.35
12_160 002,84.1,0.65,0.33
12_194 001,84.1,0.61,0.32
12_U10-003 002,84.1,0.72,0.36
12_065 003,84.1,0.68,0.35
12_152 003,84.1,0.73,0.33
12_118 001,84.1,0.65,0.35
12_028 005,84.1,0.69,0.34
12_198 001,83.85,0.64,0.34
12_160 001,83.85,0.65,0.33
12_216 002,83.85,0.72,0.35
12_152 004,83.85,0.74,0.34
12_017 004,83.85,0.71,0.33
12_039 001,83.59,0.64,0.34
12_065 004,83.59,0.65,0.36
12_165 001,83.59,0.69,0.33
12_041 002,83.59,0.66,0.34
12_135 005,83.59,0.64,0.32
12_138 001,83.59,0.61,0.32
12_046 003,83.33,0.67,0.35
12_113 002,83.33,0.69,0.32
12_014 002,83.33,0.7,0.33
12_000 003,83.33,0.73,0.36
12_113 003,83.08,0.68,0.35
12_125 002,83.08,0.65,0.35
12_203 001,83.08,0.68,0.35
12_021 001,83.08,0.73,0.35
12_162 002,82.82,0.63,0.33
12_067 003,82.82,0.7,0.35
12_025 001,82.56,0.68,0.33
12_041 003,82.56,0.65,0.34
12_204 001,82.56,0.63,0.33
12_083 001,82.56,0.57,0.32
12_109 004,82.56,0.71,0.36
12_000 005,82.56,0.71,0.34
12_198 003,82.31,0.58,0.33
12_039 002,82.31,0.65,0.34
12_047 002,82.31,0.62,0.34
12_094 001,82.31,0.7,0.32
12_109 005,82.31,0.71,0.33
12_216 004,82.05,0.69,0.35
12_047 001,82.05,0.64,0.34
12_108 003,81.79,0.71,0.34
12_128 001,81.79,0.63,0.34
12_U10-003 004,81.79,0.73,0.36
12_079 001,81.79,0.71,0.34
12_045 002,81.79,0.69,0.33
12_068 001,81.54,0.64,0.34
12_040 002,81.54,0.62,0.33
12_001 002,81.54,0.69,0.33
12_203 002,81.54,0.69,0.35
12_216 003,81.28,0.73,0.34
12_182 002,81.28,0.68,0.36
12_212 001,81.28,0.71,0.35
12_236 001,81.28,0.6,0.33
12_156 001,81.28,0.66,0.35
12_073 002,81.28,0.65,0.34
12_199 001,81.28,0.64,0.34
12_053 001,81.28,0.66,0.33
12_088 004,81.03,0.66,0.33
12_088 005,81.03,0.67,0.33
12_050 004,81.03,0.69,0.35
12_043 001,81.03,0.66,0.35
12_232 001,81.03,0.63,0.33
12_101 001,81.03,0.65,0.32
12_065 005,81.03,0.64,0.32
12_204 002,81.03,0.64,0.33
12_077 001,81.03,0.67,0.33
12_095 001,81.03,0.65,0.33
12_198 002,80.77,0.58,0.31
12_007 001,80.77,0.64,0.34
12_039 004,80.77,0.63,0.35
12_039 005,80.77,0.65,0.34
12_012 001,80.77,0.67,0.35
12_162 003,80.77,0.61,0.32
12_094 003,80.77,0.68,0.31
12_080 001,80.77,0.66,0.35
12_103 001,80.77,0.7,0.36
12_021 002,80.77,0.66,0.35
12_020 001,80.51,0.72,0.35
12_108 004,80.26,0.71,0.34
12_075 002,80.26,0.65,0.35
