Uniprot ID,open,close
A2RJ53,3drh_A,3drf_A
O76728,4bp8_A,4bp9_A
P31133,6yed_B,6yeb_B
P00558,2xe7_A,2ybe_A
P40131,3tee_A,3vki_A
Q7DAU8,3l6g_A,3l6h_A
P21589,4h2f_A,4h2i_A
A0QTT2,7cy2_A,7cyr_A
Q5F9M1,3zsf_A,2lyn_A
Q9X6R4,3iul_A,3ivm_A
Q18A65,6hnk_A,6hni_A
Q9ERE7,2rqm_A,2rqk_A
P62495,2ktv_A,2ktu_A
A0A075Q0W3,6mka_A,6mkj_A
P71447,5olw_A,5olx_A
P33284,3o80_A,3o8m_A
Q9Z4N6,1si1_A,1si0_A
A6UVT1,6hac_A,6hav_A
B71E18,6nc7_A,6nc6_A
B3EYN2,5ho2_A,5ho0_A
Q53W80,7c64_B,7c64_B
Q9SS90,6k8b_B,6k8b_B
Q9X9P9,2olo_A,2oln_A
