15_U100-002 001,96.31,0.88,0.18
15_U100-001 001,96.0,0.88,0.19
15_U100-002 003,95.69,0.88,0.2
15_U100-002 002,95.69,0.87,0.18
15_U100-008 001,95.69,0.9,0.18
15_U100-008 002,95.69,0.9,0.18
15_U100-005 001,95.69,0.9,0.18
15_U100-006 001,95.69,0.88,0.18
15_U100-003 001,95.69,0.88,0.18
15_U100-002 005,95.38,0.84,0.12
15_U100-008 003,95.38,0.84,0.17
15_U100-005 002,95.38,0.88,0.2
15_U100-009 001,95.38,0.88,0.18
15_U100-009 002,95.38,0.88,0.18
15_U100-003 003,95.38,0.84,0.18
15_U100-002 004,95.08,0.86,0.13
15_U100-007 001,95.08,0.88,0.18
15_U100-008 004,95.08,0.88,0.18
15_U100-000 001,95.08,0.87,0.18
15_U100-000 004,95.08,0.83,0.17
15_U100-005 003,95.08,0.9,0.18
15_U100-006 002,95.08,0.88,0.18
15_U100-006 004,95.08,0.87,0.2
15_U100-001 004,95.08,0.87,0.16
15_U100-004 002,94.77,0.87,0.2
15_U100-004 001,94.77,0.85,0.16
15_000 001,94.77,0.63,0.19
15_U100-006 005,94.77,0.86,0.2
15_U100-001 005,94.77,0.87,0.2
15_U100-008 005,94.46,0.85,0.2
15_U100-009 004,94.46,0.87,0.18
15_U100-001 003,94.46,0.81,0.2
15_U100-003 002,94.46,0.91,0.18
15_U100-003 004,94.46,0.86,0.16
15_U100-004 004,94.15,0.81,0.17
15_U100-004 003,94.15,0.82,0.12
15_U100-000 003,94.15,0.82,0.17
15_U100-009 005,94.15,0.86,0.16
15_U100-009 003,94.15,0.9,0.18
15_U100-006 003,94.15,0.86,0.19
15_U100-001 002,94.15,0.89,0.18
15_U100-005 005,93.85,0.88,0.2
15_U100-004 005,93.54,0.84,0.13
15_U100-007 004,93.54,0.8,0.2
15_U100-007 003,93.54,0.85,0.13
15_U100-000 002,93.54,0.89,0.18
15_U100-000 005,93.54,0.83,0.16
15_U100-003 005,93.54,0.85,0.16
15_001 001,93.54,0.82,0.2
15_U100-005 004,93.23,0.89,0.18
15_U100-007 002,92.92,0.9,0.18
15_U10-001 002,92.92,0.83,0.17
15_U100-007 005,92.62,0.86,0.16
15_001 003,92.62,0.85,0.18
