13_U100-001 002,95.13,0.73,0.36
13_U100-005 002,95.13,0.74,0.36
13_U100-007 001,94.62,0.74,0.34
13_U100-001 004,94.62,0.71,0.36
13_U100-001 005,94.62,0.73,0.36
13_U100-005 003,94.62,0.74,0.36
13_U100-001 003,94.36,0.74,0.36
13_U100-001 001,94.36,0.73,0.35
13_U100-003 001,94.36,0.74,0.34
13_U100-005 004,94.36,0.74,0.33
13_U100-005 001,94.36,0.74,0.36
13_U100-007 002,94.1,0.74,0.34
13_U100-002 002,94.1,0.74,0.36
13_U100-007 003,93.85,0.74,0.36
13_U100-002 001,93.85,0.73,0.34
13_U100-006 001,93.85,0.73,0.33
13_U100-005 005,93.85,0.74,0.33
13_U100-002 005,93.59,0.71,0.36
13_U100-004 003,93.59,0.72,0.36
13_U100-004 001,93.59,0.73,0.33
13_U100-003 004,93.59,0.73,0.33
13_U100-003 003,93.33,0.73,0.36
13_U100-002 004,93.08,0.71,0.36
13_U100-002 003,93.08,0.72,0.36
13_U100-004 004,93.08,0.73,0.36
13_U100-000 005,92.82,0.74,0.33
13_U100-000 001,92.82,0.75,0.36
13_U100-000 004,92.82,0.74,0.33
13_U100-000 003,92.82,0.74,0.33
13_U100-006 003,92.82,0.73,0.36
13_U100-003 002,92.82,0.73,0.34
13_U100-004 002,92.56,0.71,0.36
13_U100-006 002,92.56,0.73,0.35
13_U100-006 005,92.56,0.73,0.34
13_U100-003 005,92.56,0.74,0.36
13_U100-000 002,92.05,0.74,0.34
13_U100-004 005,91.79,0.71,0.35
13_U100-006 004,91.79,0.74,0.36
13_U10-006 002,91.28,0.73,0.36
13_U10-003 001,89.74,0.73,0.34
13_U10-006 003,89.74,0.74,0.36
13_U10-006 001,89.74,0.72,0.35
13_U10-007 001,89.74,0.73,0.36
13_U10-009 001,89.23,0.7,0.36
13_U10-008 002,89.23,0.69,0.35
13_U10-006 005,89.23,0.71,0.35
13_U10-001 001,88.46,0.68,0.35
13_U10-009 002,88.46,0.74,0.36
13_U10-003 002,88.46,0.72,0.36
13_U10-004 002,88.46,0.72,0.36
13_050 001,88.46,0.71,0.36
13_U10-008 001,88.46,0.71,0.36
13_U10-007 002,88.46,0.71,0.34
13_U10-001 002,88.21,0.68,0.35
13_143 001,88.21,0.65,0.33
13_U10-003 003,88.21,0.74,0.36
13_U10-006 004,88.21,0.68,0.35
13_015 001,88.21,0.72,0.34
13_U10-005 002,88.21,0.72,0.35
13_012 001,88.21,0.7,0.33
13_052 001,87.95,0.64,0.33
13_U10-005 001,87.95,0.71,0.35
13_U10-009 003,87.69,0.72,0.36
13_U10-004 003,87.69,0.71,0.35
13_143 002,87.44,0.65,0.33
13_U10-004 001,87.44,0.71,0.36
13_U10-002 001,87.44,0.7,0.35
13_U10-001 003,87.18,0.68,0.35
13_143 004,87.18,0.65,0.33
13_143 003,87.18,0.65,0.33
13_U10-003 004,87.18,0.73,0.36
13_U10-004 005,87.18,0.71,0.35
13_046 001,86.92,0.6,0.32
13_164 001,86.92,0.73,0.34
13_028 001,86.92,0.71,0.33
13_U10-008 003,86.92,0.71,0.34
13_173 001,86.92,0.65,0.33
13_U10-005 003,86.92,0.71,0.35
13_U10-009 004,86.67,0.74,0.36
13_U10-004 004,86.67,0.71,0.35
13_050 002,86.67,0.71,0.36
13_U10-005 004,86.67,0.71,0.35
13_U10-003 005,86.41,0.71,0.36
13_135 001,86.15,0.64,0.34
13_114 001,86.15,0.7,0.36
13_U10-008 004,86.15,0.68,0.35
13_U10-005 005,86.15,0.71,0.34
13_U10-002 003,86.15,0.72,0.33
13_114 002,85.9,0.69,0.35
13_U10-009 005,85.9,0.7,0.35
13_U10-000 001,85.9,0.67,0.35
13_175 001,85.9,0.71,0.34
13_050 003,85.9,0.73,0.33
13_U10-008 005,85.9,0.7,0.35
13_000 002,85.9,0.71,0.36
13_U10-001 005,85.64,0.68,0.35
13_031 001,85.64,0.66,0.34
13_U10-000 003,85.64,0.72,0.36
13_U10-000 004,85.64,0.7,0.35
13_164 002,85.64,0.74,0.34
13_028 004,85.64,0.7,0.32
13_028 002,85.64,0.69,0.34
13_U10-007 003,85.64,0.72,0.35
13_000 001,85.64,0.72,0.36
13_U10-002 002,85.64,0.73,0.36
13_U10-001 004,85.38,0.7,0.36
13_U10-000 002,85.38,0.7,0.35
